name,universeId,placeId,link,genre,allowedGearGenres,isGenreEnforced,isAllGenre,playing,visits,favoritedCount,gameRating
🎃[NEW!] Flight Simulator ✈️,419374543,1011599531,web.roblox.com/games/1011599531,RPG,RPG,True,False,47,44348298,270800,
Paw Patrol: Heroes ⚡️ [HALLOWEEEN],2751407568,7112056950,web.roblox.com/games/7112056950,All,All,True,True,22,175617,300,
U mAkE mE uN pOcO lOcO (PRIVATE SERVERS),1842818101,5261934487,web.roblox.com/games/5261934487,All,All,True,True,4,955510,6037,
Welcome To BloxBurg (FreeVersion),1624321078,4808150870,web.roblox.com/games/4808150870,Adventure,Adventure,True,False,12,4537860,9269,
[Mini Map + New Code!] Boku No Roblox: Remastered,590359607,1499872953,web.roblox.com/games/1499872953,All,All,True,True,446,312637947,1018617,
Lumber Tycoon 2 🎃 [CASH],1358179385,4104400286,web.roblox.com/games/4104400286,Adventure,Adventure,True,False,1,74042,837,
SCP Futuristic,273099834,651856670,web.roblox.com/games/651856670,Horror,Scary,True,False,1,6779650,65519,
SQUID! Ragdoll Rumble (Ragdoll Engine),1905207284,5444977771,web.roblox.com/games/5444977771,All,All,True,True,48,5127076,33694,
[x250 Cash] Stat Grinding Simulator,1707026430,4966345915,web.roblox.com/games/4966345915,All,All,True,True,106,106132,1352,
Call Of Duty : DaBaby Warfare [NEW UPDATE] 🎉,2143627262,5958021440,web.roblox.com/games/5958021440,FPS,FPS,True,False,1,256615,4076,
donate,640985667,1693819201,web.roblox.com/games/1693819201,Comedy,Funny,True,False,0,90,0,
[SHARK MODE KISAME] Shinobi Storm,1492036164,4585085581,web.roblox.com/games/4585085581,Fighting,Ninja,True,False,852,29462969,131941,
HoneyComb - Squid Game - EP:3,2937432657,7559395393,web.roblox.com/games/7559395393,All,All,True,True,9,214697,716,
(BETTY!) Undertale Monster Mania: The Final,2596121171,6828384945,web.roblox.com/games/6828384945,Horror,Scary,True,False,2,335449,2988,
🐷 Farming Simulator 🌾,678931031,1862413075,web.roblox.com/games/1862413075,All,All,True,True,21,33089644,319367,
[REVERT TO OLD] SCP Site 49,2827987146,7253211649,web.roblox.com/games/7253211649,Horror,Scary,True,False,0,19955,121,
👨‍🌾My Farm!,2120394958,5914688238,web.roblox.com/games/5914688238,Building,Tutorial,True,False,24,2387567,26254,
오징어 게임 | Squid Game | 오징어게임,2940971224,7569789411,web.roblox.com/games/7569789411,All,All,True,True,0,134570,182,
new Autodromo Internacional de Codegua / AIC,2174331596,6016765347,web.roblox.com/games/6016765347,All,All,True,True,0,436,6,
Dungeon Quest!,848145103,2414851778,web.roblox.com/games/2414851778,All,All,True,True,2541,1498811542,1791993,
MOVED (READ DESC),1648208593,4850053250,web.roblox.com/games/4850053250,All,All,True,True,0,181122,7924,
Super Size Obby,2071997141,5826523079,web.roblox.com/games/5826523079,Comedy,Funny,True,False,0,26097,159,
Happy Runner,2293506912,6242296404,web.roblox.com/games/6242296404,All,All,True,True,2266,245005128,729773,
The Glitch Difficulty Chart Obby,1785766755,5136386985,web.roblox.com/games/5136386985,All,All,True,True,4,886991,4608,
[VIP] Rap Battles 🌈,1200005988,3344424870,web.roblox.com/games/3344424870,Sports,Sports,True,False,11,7652101,52274,
Defenders of the Apocalypse,1384784741,4248601592,web.roblox.com/games/4248601592,All,All,True,True,22,6140662,23344,
Slender Man's Revenge REBORN [HAUNTING HOUR],28844903,79096434,web.roblox.com/games/79096434,Horror,Scary,False,False,26,35292799,364964,
RoPets,2680235473,6984315364,web.roblox.com/games/6984315364,All,All,True,True,198,2690954,27433,
Dragon Ball Tycoon,1637524951,4831033029,web.roblox.com/games/4831033029,Fighting,Ninja,True,False,38,8395124,18640,
Audio Visualizer (beta servers),89007587,187659887,web.roblox.com/games/187659887,Sci-Fi,SciFi,True,False,20,17161555,343602,
LPI Alpha/Anarchy Server,933504487,2603063757,web.roblox.com/games/2603063757,All,All,True,True,15,515334,902,
🎃 ragdoll street fight simulator (HALLOWEEN) 🎃,1889838569,5398368730,web.roblox.com/games/5398368730,All,All,True,True,88,9438628,65059,
SASUKE Dynamite III,2663296065,6952733114,web.roblox.com/games/6952733114,All,All,True,True,0,2330,24,
Military Madness,1022733378,2824139918,web.roblox.com/games/2824139918,Military,War,True,False,62,6862717,94389,
Escape KFC Obby!,1606003779,4777895233,web.roblox.com/games/4777895233,All,All,True,True,284,3295425,9415,
[HALLOWEEN!] 👻 Soro's Italian Restaurant 🎃,163818564,430367172,web.roblox.com/games/430367172,All,All,True,True,47,25284329,221676,
2 Player Assassin Tycoon,1979427910,5637866415,web.roblox.com/games/5637866415,Fighting,Ninja,True,False,32,3680409,6926,
[VR testing] bruh,1682188287,4915459682,web.roblox.com/games/4915459682,All,All,True,True,8,6870757,3944,
Super Parkour Obby!,2339284994,6327635533,web.roblox.com/games/6327635533,Adventure,Adventure,True,False,29,1170474,1492,
BrookhavenRP Among Us,2726012933,7068905377,web.roblox.com/games/7068905377,All,All,True,True,72,745659,3043,
Hole In The Wall,2447484936,6529049006,web.roblox.com/games/6529049006,All,All,True,True,27,2848187,16029,
BIRD,1271506953,3633505977,web.roblox.com/games/3633505977,Adventure,Adventure,True,False,284,26429029,242475,
PUBG | ببجي العرب,1819945561,5208486188,web.roblox.com/games/5208486188,FPS,FPS,True,False,32,3989555,9252,
[UPDATE] OS Helicopter Tryouts,2862328413,7337001426,web.roblox.com/games/7337001426,Military,War,True,False,5,32604,530,
Elevators,1835674207,5243351588,web.roblox.com/games/5243351588,All,All,True,True,162,12001915,36992,
Sonic.EXE Nightmare Series Roleplay,1603349088,4773494902,web.roblox.com/games/4773494902,All,All,True,True,105,8302709,33682,
Happy Simulator 2,2607131233,6849418972,web.roblox.com/games/6849418972,All,All,True,True,15,2109620,13891,
[⚔️ARENA] Superpower City,1103276250,3058895975,web.roblox.com/games/3058895975,All,All,True,True,15,8779632,75838,
[Halloween!] High Tide,1116514523,3094145417,web.roblox.com/games/3094145417,Fighting,Ninja,True,False,56,2803104,62601,
City Hotel Tycoon,10299611,43677443,web.roblox.com/games/43677443,Town and City,TownAndCity,False,False,1,9698224,99404,
BOC(Dev Server),2608474840,6851871672,web.roblox.com/games/6851871672,Military,War,True,False,0,179,2,
Ultimate Driving: Currituck,258190043,627471495,web.roblox.com/games/627471495,Town and City,TownAndCity,True,False,13,4281170,62878,
BrookHavenRP Siren Head🎃,2658085596,6943669941,web.roblox.com/games/6943669941,All,All,True,True,126,1555936,4447,
[FFA] Shooter's,2622268263,6877133468,web.roblox.com/games/6877133468,All,All,True,True,0,27137,237,
Easy Parkour Obby 450 Stages!,2036048746,5741239509,web.roblox.com/games/5741239509,Adventure,Adventure,True,False,7,154007,1198,
DriveBlox Unlimited,18916212,52212574,web.roblox.com/games/52212574,All,All,True,True,0,11734811,202625,
스크립트 놀이터!,2394334071,6429553894,web.roblox.com/games/6429553894,All,All,True,True,0,14273,37,
[Discontinued] Pirate Emperors,1542727147,4668500407,web.roblox.com/games/4668500407,Adventure,Adventure,True,False,12,4743782,36571,
